procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 394252 12636056  59568 908784    6  150   561   192  207  640  6  3 77 14  0
 0  0 394252 12036336  59588 923188    0    0    48 12064  494  673  7  5 82  6  0
 0  0 394252 11418164  59588 925984    0    0     0     0  333  833  5  4 91  0  0
 0  0 394252 10804040  59588 924120    0    0     0     0  267  550  3  5 93  0  0
 0  0 394252 10189916  59596 921796    0    0     0   144  257  352  2  5 92  1  0
 1  0 394252 9927332  59596 924128    0    0     0     0  287  852  3  3 94  0  0
 0  0 394252 9571744  59596 924012    0    0     0     0  247  625  2  2 95  0  0
 1  0 394252 8956752  59596 921388    0    0     0     0  215  383  2  5 93  0  0
 0  0 394252 8339684  59596 921428    4    0     4     4  327  901  4  5 91  0  0
 0  0 394252 7723292  59596 923476    0    0     0     0  193  329  2  5 93  0  0
 1  0 394252 7297664  59596 921064    0    0     0     0  158  258  2  3 95  0  0
 0  0 394252 7112444  59604 921424    0    0     0    68  209  640  2  2 96  1  0
 0  0 393996 6497312  59612 921620    0    0    16    64 1209 4741  5  4 91  1  0
 0  0 393996 5879408  59612 922084    0    0     0     4 1134 5417  5  5 89  1  0
 0  0 393996 5262260  59612 923660    0    0     0  2972  660 1150  4  6 90  0  0
 0  0 393996 4646624  59612 923020    0    0     0     0  212  370  3  4 94  0  0
 1  1 393996 4647128  59612 921444    8    0     8     0  206  434  0  0 99  1  0
 0  0 393996 4033508  59620 923164    0    0    72    84  314  708  4  4 92  0  0
 0  0 393996 3415100  59620 925128   56    0    56     0  304  548  3  4 92  1  0
 0  0 393996 2801324  59620 923812    0    0     0     0  704 2769  5  5 89  0  0
 0  0 393996 2185592  59620 923920    0    0     0     0  422 1368  4  5 91  0  0
 1  0 393996 2002608  59620 923928    0    0     0     0  409 1472  2  3 95  0  0
 0  0 393996 1569420  59620 923928    0    0     0     0  251  564  2  3 95  0  0
 0  0 393996 956192  59628 921724    0    0     0    28  262  678  4  4 92  0  0
 0  0 393996 13265756  59628 922204    0    0     0     0  309  477  0  8 92  0  0
 0  0 393996 13263740  59628 924252    0    0     0   132  162  441  0  0 99  0  0

here we can clearly see that amount of free memory decreasing during program execution,
and the swaps-in (si) begins (6, 4, 56)
my program ran 20 seconds and allocated 600 MB each iteration.
